,wl,pure,salty,cdom,bbw,Kd
34,368.0,0.00122,0.00122,2.46082311115695,0.0047495200342382304,0.0084577094144711
35,370.0,0.00124,0.00124,2.400115293967098,0.004635800149117131,0.00830602214692614
36,372.0,0.00127,0.00127,2.340916851925991,0.0045302799917408265,0.008177542358847352
37,374.0,0.00129,0.00129,2.283170765329304,0.00442475984164048,0.008038184956170523
38,376.0,0.00133,0.00133,2.2268709284924677,0.004322999717260245,0.007925988214244067
39,378.0,0.00137,0.00137,2.1719621271834426,0.00422499962587608,0.007819388727539798
40,380.0,0.0013000000000000002,0.0013000000000000002,2.118300016612675,0.004126999534491915,0.007594787262391618
41,382.0,0.001385,0.001385,2.0661160999664867,0.004035839621792547,0.00754668780163213
42,384.0,0.00152,0.00152,2.015272707470477,0.003944679716369137,0.007551726364252737
43,386.0,0.00162,0.00162,1.9656529759698473,0.0038566598668694496,0.007523803138058942
44,388.0,0.001555,0.001555,1.9170958290138962,0.0037717800587415695,0.0073246317276896575
45,390.0,0.001615,0.001615,1.8698609574322222,0.0036869002506136894,0.007258615406879448
46,392.0,0.001735,0.001735,1.8238538003905092,0.0036077802069485188,0.00726497928370212
47,394.0,0.00186,0.00186,1.7789905269140385,0.003528660163283348,0.007276309862045164
48,396.0,0.00199,0.00199,1.7352430178673952,0.003452200115134474,0.007296675047173391
49,398.0,0.0021349999999999997,0.0021349999999999997,1.6925938483790914,0.003378400062501896,0.007336652844144475
50,400.0,0.0022600000000000003,0.0022600000000000003,1.6509812707001281,0.0033046000098693185,0.007355116021185172
51,402.0,0.002385,0.002385,1.610399197485783,0.003235640047932975,0.007380726045471304
52,404.0,0.002505,0.002505,1.570817185490169,0.003166680078720674,0.007400760413014771
53,406.0,0.00264,0.00264,1.5322304196633787,0.003099960089457454,0.007439765370137363
54,408.0,0.002735,0.002735,1.4945596976412703,0.0030354800655914005,0.007439853491072179
55,410.0,0.00281,0.00281,1.4578014146182012,0.002971000041725347,0.0074187141767404746
56,412.0,0.0028,0.0028,1.4218675485932573,0.0029106799520377535,0.007314647213127403
57,414.0,0.00283,0.00283,1.3868606459807515,0.002850359865988139,0.007252545250956736
58,416.0,0.002905,0.002905,1.3527638075760031,0.00279193986170867,0.007240471215011569
59,418.0,0.0030800000000000003,0.0030800000000000003,1.3196106748676215,0.002735419942837325,0.007335852056954429
60,420.0,0.003235,0.003235,1.2872604166877415,0.00267890002396598,0.0074099716520825585
61,422.0,0.00335,0.00335,1.2556727161918644,0.0026258999496349134,0.007447496258669866
62,424.0,0.003445,0.003445,1.2248477581601698,0.0025728998734848574,0.007463936311254154
