station,wavelength,measured_reflectance_percent
C2006000,443,0.031181
C2006000,456,0.033258
C2006000,490,0.036376
C2006000,509,NA
C2006000,532,0.028283
C2006000,556,NA
C2006000,559,0.020527000000000004
C2006000,590,NA
C2006000,619,0.003995
C2006000,665,0.0024590000000000002
C2006000,683,0.002577
C2006000,705,0.001317
C2006000,779,3.03e-4
C2006000,866,7.2e-5
C2007000,411,0.037755000000000004
C2007000,443,0.039134
C2007000,456,0.042274000000000006
C2007000,490,0.047882999999999995
C2007000,509,NA
C2007000,532,0.035781
C2007000,556,NA
C2007000,559,0.027537
C2007000,590,NA
C2007000,619,0.005294
C2007000,665,0.003396
C2007000,683,0.0036320000000000002
C2007000,705,0.0016320000000000002
C2007000,779,3.06e-4
C2007000,866,5.6e-5
C2008000,411,NA
C2008000,443,NA
C2008000,456,NA
C2008000,490,NA
C2008000,509,NA
C2008000,532,NA
C2008000,556,NA
C2008000,559,NA
C2008000,590,NA
C2008000,619,NA
C2008000,665,NA
C2008000,683,NA
C2008000,705,NA
C2008000,779,NA
C2008000,866,NA
C2009000,411,NA
C2009000,443,NA
C2009000,456,NA
C2009000,490,NA
C2009000,509,NA
C2009000,532,NA
C2009000,556,NA
C2009000,559,NA
C2009000,590,NA
C2009000,619,NA
C2009000,665,NA
C2009000,683,NA
C2009000,705,NA
C2009000,779,NA
C2009000,866,NA
C2010000,411,0.026147999999999998
C2010000,443,0.025495
C2010000,456,0.028422
C2010000,490,0.032867
C2010000,509,NA
C2010000,532,0.033208
C2010000,556,NA
C2010000,559,0.029426
C2010000,590,NA
C2010000,619,0.007158
C2010000,665,0.0052049999999999996
C2010000,683,0.005178
C2010000,705,0.002671
C2010000,779,5.22e-4
C2010000,866,1.18e-4
C2011000,411,0.065568
C2011000,443,0.079548
C2011000,456,0.086587
C2011000,490,0.10247500000000001
C2011000,509,NA
C2011000,532,0.120149
C2011000,556,NA
C2011000,559,0.105396
C2011000,590,NA
C2011000,619,0.037647
C2011000,665,0.022232
C2011000,683,0.022174999999999997
C2011000,705,0.013226
C2011000,779,0.002791
C2011000,866,5.39e-4
C2012000,411,0.059823
C2012000,443,0.07094400000000001
C2012000,456,0.077376
C2012000,490,0.094915
C2012000,509,NA
C2012000,532,0.12165100000000001
C2012000,556,NA
C2012000,559,0.116667
C2012000,590,NA
C2012000,619,0.044149
C2012000,665,0.024966
C2012000,683,0.024986
C2012000,705,0.015379
C2012000,779,0.002182
C2012000,866,NA
C2013000,411,0.072538
C2013000,443,0.087562
C2013000,456,0.09503500000000001
C2013000,490,0.111457
C2013000,509,NA
C2013000,532,0.124759
C2013000,556,NA
C2013000,559,0.10895200000000001
C2013000,590,NA
C2013000,619,0.033354
C2013000,665,0.019846
C2013000,683,0.019355999999999998
C2013000,705,0.01121
C2013000,779,0.002577
C2013000,866,0.001898
C2014000,411,0.055953
C2014000,443,0.069034
C2014000,456,0.075723
C2014000,490,0.087061
C2014000,509,NA
C2014000,532,0.08326499999999999
C2014000,556,NA
C2014000,559,0.06990400000000001
C2014000,590,NA
C2014000,619,0.015346
C2014000,665,0.011238999999999999
C2014000,683,0.009156
C2014000,705,0.00506
C2014000,779,7.96e-4
C2014000,866,2.25e-4
C2015000,411,0.059301000000000006
C2015000,443,0.074628
C2015000,456,0.081065
C2015000,490,0.094454
C2015000,509,NA
C2015000,532,0.10207100000000001
C2015000,556,NA
C2015000,559,0.088615
C2015000,590,NA
C2015000,619,0.026758
C2015000,665,0.016251
C2015000,683,0.015756
C2015000,705,0.0089
C2015000,779,NA
C2015000,866,NA
C3001000,411,NA
C3001000,443,NA
C3001000,456,NA
C3001000,490,NA
C3001000,509,NA
C3001000,532,NA
C3001000,556,NA
C3001000,559,NA
C3001000,590,NA
C3001000,619,NA
C3001000,665,NA
C3001000,683,NA
C3001000,705,NA
C3001000,779,NA
C3001000,866,NA
C3002000,411,NA
C3002000,443,NA
C3002000,456,NA
C3002000,490,NA
C3002000,509,NA
C3002000,532,NA
C3002000,556,NA
C3002000,559,NA
C3002000,590,NA
C3002000,619,NA
C3002000,665,NA
C3002000,683,NA
C3002000,705,NA
C3002000,779,NA
C3002000,866,NA
C3003000,411,NA
C3003000,443,NA
C3003000,456,NA
C3003000,490,NA
C3003000,509,NA
C3003000,532,NA
C3003000,556,NA
C3003000,559,NA
C3003000,590,NA
C3003000,619,NA
C3003000,665,NA
C3003000,683,NA
C3003000,705,NA
C3003000,779,NA
C3003000,866,NA
C3004000,411,0.034863
C3004000,443,0.034911
C3004000,456,0.03816
C3004000,490,0.050374
C3004000,509,NA
C3004000,532,0.06554700000000001
C3004000,556,NA
C3004000,559,0.056429
C3004000,590,NA
C3004000,619,0.011637
C3004000,665,0.007024
C3004000,683,0.008454
C3004000,705,0.004545
C3004000,779,6.78e-4
C3004000,866,2.0899999999999998e-4
C3005000,411,0.032866
C3005000,443,0.031410999999999994
C3005000,456,0.033492
C3005000,490,0.042081999999999994
C3005000,509,NA
C3005000,532,0.06661800000000001
C3005000,556,NA
C3005000,559,0.065472
C3005000,590,NA
C3005000,619,0.01949
C3005000,665,0.011001
C3005000,683,0.012686999999999999
C3005000,705,0.007629
C3005000,779,0.00105
C3005000,866,3.5499999999999996e-4
C3006000,411,0.025461
C3006000,443,0.025498
C3006000,456,0.028414000000000002
C3006000,490,0.035383
C3006000,509,NA
C3006000,532,0.053512000000000004
C3006000,556,NA
C3006000,559,0.067445
C3006000,590,NA
C3006000,619,0.015075
C3006000,665,0.009814
C3006000,683,0.0102
C3006000,705,0.005405
C3006000,779,8.07e-4
C3006000,866,2.1999999999999998e-4
C3007000,411,0.030041000000000002
C3007000,443,0.031025999999999998
C3007000,456,0.032993999999999996
C3007000,490,0.038692000000000004
C3007000,509,NA
C3007000,532,0.038853
C3007000,556,NA
C3007000,559,0.032736
C3007000,590,NA
C3007000,619,0.005881999999999999
C3007000,665,0.003905
C3007000,683,0.00419
C3007000,705,0.002029
C3007000,779,4.3e-4
C3007000,866,1.32e-4
C3008000,411,0.063427
C3008000,443,0.061017999999999996
C3008000,456,0.065047
C3008000,490,0.073435
C3008000,509,NA
C3008000,532,0.082489
C3008000,556,NA
C3008000,559,0.062259
C3008000,590,NA
C3008000,619,0.012359
C3008000,665,0.007522
C3008000,683,0.007468
C3008000,705,0.003982
C3008000,779,NA
C3008000,866,NA
C3009000,411,0.034387
C3009000,443,0.034552
C3009000,456,0.038637000000000005
C3009000,490,0.047832999999999994
C3009000,509,NA
C3009000,532,0.071496
C3009000,556,NA
C3009000,559,0.071837
C3009000,590,NA
C3009000,619,0.023066
C3009000,665,0.013836
C3009000,683,0.014811000000000001
C3009000,705,0.008717
C3009000,779,0.001474
C3009000,866,5.3e-4
C3010000,411,NA
C3010000,443,NA
C3010000,456,NA
C3010000,490,NA
C3010000,509,NA
C3010000,532,NA
C3010000,556,NA
C3010000,559,NA
C3010000,590,NA
C3010000,619,NA
C3010000,665,NA
C3010000,683,NA
C3010000,705,NA
C3010000,779,NA
C3010000,866,NA
C3011000,411,0.021502
C3011000,443,0.022768999999999998
C3011000,456,0.025816
C3011000,490,0.034454
C3011000,509,NA
C3011000,532,0.060149
C3011000,556,NA
C3011000,559,0.060958
C3011000,590,NA
C3011000,619,0.02165
C3011000,665,0.012303
C3011000,683,0.013739
C3011000,705,0.007574
C3011000,779,NA
C3011000,866,NA
C3012000,411,0.023413
C3012000,443,0.027012
C3012000,456,0.031606999999999996
C3012000,490,0.043938
C3012000,509,NA
C3012000,532,0.07423099999999999
C3012000,556,NA
C3012000,559,0.08162900000000001
C3012000,590,NA
C3012000,619,0.033971
C3012000,665,0.022744
C3012000,683,0.024815
C3012000,705,0.016881999999999998
C3012000,779,0.0042970000000000005
C3012000,866,9.07e-4
C3013000,411,0.016467
C3013000,443,0.018896
C3013000,456,0.021259999999999998
C3013000,490,0.030867
C3013000,509,NA
C3013000,532,0.054096000000000005
C3013000,556,NA
C3013000,559,NA
C3013000,590,NA
C3013000,619,0.025127
C3013000,665,0.016449000000000002
C3013000,683,0.018447
C3013000,705,0.013694999999999999
C3013000,779,0.0031580000000000002
C3013000,866,0.0011279999999999999
C3014000,411,0.023236
C3014000,443,0.025036
C3014000,456,0.030950000000000002
C3014000,490,0.040455
C3014000,509,NA
C3014000,532,0.056011
C3014000,556,NA
C3014000,559,0.060025
C3014000,590,NA
C3014000,619,0.017373
C3014000,665,0.011463000000000001
C3014000,683,0.013413999999999999
C3014000,705,0.006967999999999999
C3014000,779,0.0010580000000000001
C3014000,866,2.68e-4
C3015000,411,0.030072
C3015000,443,0.030019
C3015000,456,0.033172
C3015000,490,0.041104
C3015000,509,NA
C3015000,532,0.057841
C3015000,556,NA
C3015000,559,0.055733
C3015000,590,NA
C3015000,619,0.014379999999999999
C3015000,665,0.008385
C3015000,683,0.009193
C3015000,705,0.0047339999999999995
C3015000,779,8.39e-4
C3015000,866,2.93e-4
C3016000,411,0.029762
C3016000,443,0.030248
C3016000,456,0.033113000000000004
C3016000,490,0.038934
C3016000,509,NA
C3016000,532,0.054611
C3016000,556,NA
C3016000,559,0.054787
C3016000,590,NA
C3016000,619,0.011667
C3016000,665,0.00707
C3016000,683,0.008017999999999999
C3016000,705,0.0035909999999999996
C3016000,779,NA
C3016000,866,NA
C3017000,411,0.036752
C3017000,443,0.036539
C3017000,456,0.040472
C3017000,490,0.050797999999999996
C3017000,509,NA
C3017000,532,0.076254
C3017000,556,NA
C3017000,559,0.080792
C3017000,590,NA
C3017000,619,0.024479
C3017000,665,0.014879
C3017000,683,0.016003
C3017000,705,0.008412
C3017000,779,0.001344
C3017000,866,4.0800000000000005e-4
C3018000,411,0.034647000000000004
C3018000,443,0.033361999999999996
C3018000,456,0.037427
C3018000,490,0.049326999999999996
C3018000,509,NA
C3018000,532,0.081893
C3018000,556,NA
C3018000,559,0.080584
C3018000,590,NA
C3018000,619,0.021931
C3018000,665,0.011607000000000001
C3018000,683,0.014014
C3018000,705,0.008333
C3018000,779,0.001342
C3018000,866,2.85e-4
C3019000,411,0.035905
C3019000,443,0.037195
C3019000,456,0.042053
C3019000,490,0.056077
C3019000,509,NA
C3019000,532,0.083454
C3019000,556,NA
C3019000,559,0.08438499999999999
C3019000,590,NA
C3019000,619,0.015817
C3019000,665,0.00929
C3019000,683,0.010314
