station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C2003000,0.157443,0.481477,0.073612,0.017946,0.009561,0.020296,0,0.043837,0.008248,0.182477,0.006053,0.02378,0,0,0.00686,0.043838,0
C2004000,0.192171,0.875567,0.100102,0.064947,0,0.033883,0,0.129877,0.021589,0.303902,0.018187,0.031453,0,0,0,0.066102,0
C2005000,0.069052,0.473725,0.069232,0.025606,0,0.021348,0,0.085091,0.014323,0.147705,0.006963,0.034555,0,0,0,0.05688,0
C2006000,0.0836,0.484898,0.080748,0.015517,0.008374,0.020697,0,0.085398,0.01465,0.159378,0.004529,0.028126,0,0,0.009731,0.060721,0
C2007000,0.078784,0.534947,0.08482,0.020245,0.012489,0.021761,0,0.078731,0.014681,0.191099,0.007826,0.027156,0,0,0.008495,0.050777,0
C2008000,0.107262,0.386631,0.061626,0.013839,0.008631,0.019666,0,0.039448,0.009387,0.169981,0.003451,0.022508,0,0,0.007932,0.045886,0
C2009000,0.226369,0.514513,0.104547,0.013453,0.012281,0.02053,0,0.045722,0.010212,0.282107,0.004802,0.01834,0,0,0.011024,0.073066999999999993,0
C2010000,0.355552,1.064852,0.173359,0.019031,0.014674,0.028192,0,0.058515,0.009794,0.52015,0.008179,0.022655,0,0,0.013143,0.103731,0
C2011000,0.095406,0.993519,0.126906,0.104436,0.012399,0.042654,0,0.13184,0.026658,0.329695,0.021602,0.050907,0,0,0.011555,0.069857,0
C2012000,0.356383,1.9102460000000001,0.271218,0.165125,0.044915,0.070086,0,0.188358,0.028484,0.871947,0.031292,0.022042,0,0,0.018409,0.170965,0
C2013000,0.148636,0.88409,0.098729,0.069777,0.014291,0.025239,0,0.062589,0.021982,0.330115,0.0122,0.023399,0,0,0.006505,0.053333,0
C2014000,0.100952,0.531505,0.084247,0.023434,0.010629,0.032175,0,0.041297,0.014239,0.228041,0.004827,0.031441,0,0,0.006651,0.049888,0
C2015000,0,0.71327,0.122492,0.062628,0.013202,0.026152,0,0.061504,0.02171,0.308447,0.010318,0.024498,0,0,0.016095,0.058789,0
C3001000,0.04425,2.671682,0.123169,0.059533,0.05267,0.124109,0,0.133757,0.007669,1.119156,0.027856,0.254574,0,0,0.181348,0.381843,0
C3002000,0.051486,2.956077,0.137529,0.05305,0.037047,0.180254,0,0.139802,0,1.221034,0.01501,0.470483,0,0,0.18401699999999999,0.357323,0
C3003000,0.542222,3.646014,0.173042,0,0.043635,0.177256,0,0.162186,0,1.336598,0.025297,0.314992,0,0,0.193401,0.339761,0
C3004000,0.07819,2.517106,0.140639,0,0.065733,0.133584,0,0.233706,0.013142,0.868357,0.029361,0.272687,0,0,0.110533,0.354259,0
C3005000,0.084669,4.437069,0.279304,0.233215,0.124836,0.186903,0,0.349559,0.016507,1.587201,0.066691,0.384201,0,0,0.595348,0.550472,0
